country;continent;year;life_exp;pop;gdp_per_cap;Unnamed: 6;grupo
Afghanistan;Asia;1952.0;29.0;8425333.0;779.0;4453.0;Bajo
Afghanistan;Asia;1957.0;30.0;9240934.0;820.0;8530.0;Bajo
Afghanistan;Asia;1962.0;32.0;10267083.0;853.0;1007.0;Bajo
Afghanistan;Asia;1967.0;34.0;11537966.0;836.0;1971.0;Bajo
Afghanistan;Asia;1972.0;36.0;13079460.0;739.0;9811.0;Bajo
Afghanistan;Asia;1977.0;38.0;14880372.0;786.0;1134.0;Bajo
Afghanistan;Asia;1982.0;40.0;12881816.0;978.0;114.0;Bajo
Afghanistan;Asia;1987.0;41.0;13867957.0;852.0;3959.0;Bajo
Afghanistan;Asia;1992.0;42.0;16317921.0;649.0;3414.0;Bajo
Afghanistan;Asia;1997.0;42.0;22227415.0;635.0;3414.0;Bajo
Afghanistan;Asia;2002.0;42.0;25268405.0;726.0;7341.0;Bajo
Afghanistan;Asia;2007.0;44.0;31889923.0;974.0;5803.0;Bajo
Albania;Europe;1952.0;55.0;1282697.0;1601.0;561.0;Bajo
Albania;Europe;1957.0;59.0;1476505.0;1942.0;2842.0;Medio
Albania;Europe;1962.0;65.0;1728137.0;2312.0;8890.0;Medio
Albania;Europe;1967.0;66.0;1984060.0;2760.0;1969.0;Medio
Albania;Europe;1977.0;69.0;2509048.0;3533.0;39.0;Medio
Albania;Europe;1982.0;70.0;2780097.0;3630.0;8807.0;Medio
Albania;Europe;1987.0;72.0;3075321.0;3738.0;9327.0;Medio
Albania;Europe;1992.0;72.0;3326498.0;2497.0;4379.0;Medio
Albania;Europe;1997.0;73.0;3428038.0;3193.0;546.0;Medio
Albania;Europe;2002.0;76.0;3508512.0;4604.0;2117.0;Medio
Albania;Europe;2007.0;76.0;3600523.0;5937.0;295.0;Medio
Algeria;Africa;1952.0;43.0;9279525.0;2449.0;82.0;Medio
Algeria;Africa;1957.0;46.0;10270856.0;3013.0;9760.0;Medio
Algeria;Africa;1962.0;48.0;11000948.0;2550.0;8169.0;Medio
Algeria;Africa;1967.0;51.0;12760499.0;3246.0;9918.0;Medio
Algeria;Africa;1972.0;55.0;14760787.0;4182.0;6638.0;Medio
Algeria;Africa;1977.0;58.0;17152804.0;4910.0;4168.0;Medio
Algeria;Africa;1982.0;61.0;20033753.0;5745.0;1602.0;Medio
Algeria;Africa;1987.0;66.0;23254956.0;5681.0;3585.0;Medio
Algeria;Africa;1992.0;68.0;26298373.0;5023.0;2166.0;Medio
Algeria;Africa;1997.0;69.0;29072015.0;4797.0;2951.0;Medio
Algeria;Africa;2002.0;71.0;31287142.0;5288.0;404.0;Medio
Algeria;Africa;2007.0;72.0;33333216.0;6223.0;3675.0;Medio
Angola;Africa;1952.0;30.0;4232095.0;3520.0;6103.0;Medio
Angola;Africa;1957.0;32.0;4561361.0;3827.0;9405.0;Medio
Angola;Africa;1962.0;34.0;4826015.0;4269.0;2767.0;Medio
Angola;Africa;1967.0;36.0;5247469.0;5522.0;7764.0;Medio
Angola;Africa;1972.0;38.0;5894858.0;5473.0;2880.0;Medio
Angola;Africa;1977.0;39.0;6162675.0;3008.0;6474.0;Medio
Angola;Africa;1982.0;40.0;7016384.0;2756.0;9537.0;Medio
Angola;Africa;1987.0;40.0;7874230.0;2430.0;2083.0;Medio
Angola;Africa;1992.0;41.0;8735988.0;2627.0;8457.0;Medio
Angola;Africa;1997.0;41.0;9875024.0;2277.0;1409.0;Medio
